Type,Identification,Field,Locale,Market,Status,Default content,Translated content
COLLECTION,'294502039600,body_html,vi,,,"",
COLLECTION,'294502039600,body_html,zh-CN,,,"",
COLLECTION,'294502039600,handle,vi,,,eating-utensils,
COLLECTION,'294502039600,handle,zh-CN,,,eating-utensils,
COLLECTION,'294504005680,title,vi,,,Bowl,Cái bát
COLLECTION,'294504005680,title,zh-CN,,,Bowl,碗
COLLECTION,'294504005680,body_html,vi,,,"",
COLLECTION,'294504005680,body_html,zh-CN,,,"",
COLLECTION,'294504005680,handle,vi,,,bowl,
COLLECTION,'294504005680,handle,zh-CN,,,bowl,
COLLECTION,'294537068592,title,vi,,,Joss Paper/Hades Paper,Giấy Joss/Giấy Hades
COLLECTION,'294537068592,title,zh-CN,,,Joss Paper/Hades Paper,冥纸
COLLECTION,'294537068592,body_html,vi,,,"",
COLLECTION,'294537068592,body_html,zh-CN,,,"",
COLLECTION,'294537068592,handle,vi,,,joss-paper,
COLLECTION,'294537068592,handle,zh-CN,,,joss-paper,
COLLECTION,'294537134128,title,vi,,,Religious Lightings,Ánh sáng tôn giáo
COLLECTION,'294537134128,title,zh-CN,,,Religious Lightings,宗教灯饰
COLLECTION,'294537134128,body_html,vi,,,"",
COLLECTION,'294537134128,body_html,zh-CN,,,"",
COLLECTION,'294537134128,handle,vi,,,religious-lightings,
COLLECTION,'294537134128,handle,zh-CN,,,religious-lightings,
COLLECTION,'294537166896,title,vi,,,Religious Decorations,Trang trí tôn giáo
COLLECTION,'294537166896,title,zh-CN,,,Religious Decorations,宗教装饰
COLLECTION,'294537166896,body_html,vi,,,"",
COLLECTION,'294537166896,body_html,zh-CN,,,"",
COLLECTION,'294537166896,handle,vi,,,religious-decorations,
COLLECTION,'294537166896,handle,zh-CN,,,religious-decorations,
COLLECTION,'294582157360,title,vi,,,Incense,Hương
COLLECTION,'294582157360,title,zh-CN,,,Incense,香
COLLECTION,'294582157360,body_html,vi,,,"",
COLLECTION,'294582157360,body_html,zh-CN,,,"",
COLLECTION,'294582157360,handle,vi,,,incense,
COLLECTION,'294582157360,handle,zh-CN,,,incense,
COLLECTION,'294617120816,title,vi,,,Religious Candles,Nến tôn giáo
COLLECTION,'294617120816,title,zh-CN,,,Religious Candles,宗教蜡烛
COLLECTION,'294617120816,body_html,vi,,,"",
COLLECTION,'294617120816,body_html,zh-CN,,,"",
COLLECTION,'294617120816,handle,vi,,,religious-candles,
COLLECTION,'294617120816,handle,zh-CN,,,religious-candles,
COLLECTION,'294617120816,meta_title,vi,,,candle,nến
COLLECTION,'294617120816,meta_title,zh-CN,,,candle,蜡烛
COLLECTION,'294618791984,title,vi,,,Takeout Boxes,Hộp đựng đồ ăn mang đi
COLLECTION,'294618791984,title,zh-CN,,,Takeout Boxes,外卖盒
COLLECTION,'294618791984,body_html,vi,,,"",
COLLECTION,'294618791984,body_html,zh-CN,,,"",
COLLECTION,'294618791984,handle,vi,,,takeout-boxes,
COLLECTION,'294618791984,handle,zh-CN,,,takeout-boxes,
COLLECTION,'294618824752,title,vi,,,Takeout Cups,Cốc mang đi
COLLECTION,'294618824752,title,zh-CN,,,Takeout Cups,外卖杯
COLLECTION,'294618824752,body_html,vi,,,"",
COLLECTION,'294618824752,body_html,zh-CN,,,"",
COLLECTION,'294618824752,handle,vi,,,takeout-cups,
COLLECTION,'294618824752,handle,zh-CN,,,takeout-cups,
COLLECTION,'294618857520,title,vi,,,Takeout Utensils,Đồ dùng mang đi
COLLECTION,'294618857520,title,zh-CN,,,Takeout Utensils,外卖餐具
COLLECTION,'294618857520,body_html,vi,,,"",
COLLECTION,'294618857520,body_html,zh-CN,,,"",
COLLECTION,'294618857520,handle,vi,,,takeout-utilsils,
COLLECTION,'294618857520,handle,zh-CN,,,takeout-utilsils,
COLLECTION,'294618890288,title,vi,,,Takeout Bowls,Bát mang đi
COLLECTION,'294618890288,title,zh-CN,,,Takeout Bowls,外卖碗
COLLECTION,'294618890288,body_html,vi,,,"",
COLLECTION,'294618890288,body_html,zh-CN,,,"",
COLLECTION,'294618890288,handle,vi,,,takeout-bowls,
COLLECTION,'294618890288,handle,zh-CN,,,takeout-bowls,
COLLECTION,'294618923056,title,vi,,,Takeout Bags,Túi đựng đồ mang đi
COLLECTION,'294618923056,title,zh-CN,,,Takeout Bags,外卖袋
COLLECTION,'294618923056,body_html,vi,,,"",
COLLECTION,'294618923056,body_html,zh-CN,,,"",
COLLECTION,'294618923056,handle,vi,,,takeout-bags,
COLLECTION,'294618923056,handle,zh-CN,,,takeout-bags,
COLLECTION,'294659260464,title,vi,,,Table ware,Đồ dùng trên bàn ăn
COLLECTION,'294659260464,title,zh-CN,,,Table ware,餐具
COLLECTION,'294659260464,body_html,vi,,,"",
COLLECTION,'294659260464,body_html,zh-CN,,,"",
COLLECTION,'294659260464,handle,vi,,,table-ware,
COLLECTION,'294659260464,handle,zh-CN,,,table-ware,
COLLECTION,'294768312368,title,vi,,,Restaurant Operations Supplies,Vật tư vận hành nhà hàng
COLLECTION,'294768312368,title,zh-CN,,,Restaurant Operations Supplies,餐厅运营用品
COLLECTION,'294768312368,body_html,vi,,,"",
COLLECTION,'294768312368,body_html,zh-CN,,,"",
COLLECTION,'294768312368,handle,vi,,,restaurant-operations-supplies,
COLLECTION,'294768312368,handle,zh-CN,,,restaurant-operations-supplies,
COLLECTION,'294838698032,title,vi,,,Clay & Ceramic Cookware,Đồ nấu bằng đất sét và gốm
COLLECTION,'294838698032,title,zh-CN,,,Clay & Ceramic Cookware,粘土和陶瓷炊具
COLLECTION,'294838698032,body_html,vi,,,"",
COLLECTION,'294838698032,body_html,zh-CN,,,"",
COLLECTION,'294838698032,handle,vi,,,clay-ceramic-cookware,
COLLECTION,'294838698032,handle,zh-CN,,,clay-ceramic-cookware,
COLLECTION,'294838730800,title,vi,,,Cookware,Đồ nấu nướng
COLLECTION,'294838730800,title,zh-CN,,,Cookware,炊具
COLLECTION,'294838730800,body_html,vi,,,"",
COLLECTION,'294838730800,body_html,zh-CN,,,"",
COLLECTION,'294838730800,handle,vi,,,cookware,
COLLECTION,'294838730800,handle,zh-CN,,,cookware,
COLLECTION,'294868942896,title,vi,,,Religious Utensil,Đồ dùng tôn giáo
COLLECTION,'294868942896,title,zh-CN,,,Religious Utensil,宗教器具
COLLECTION,'294868942896,body_html,vi,,,"",
COLLECTION,'294868942896,body_html,zh-CN,,,"",
COLLECTION,'294868942896,handle,vi,,,religious-utensil,
COLLECTION,'294868942896,handle,zh-CN,,,religious-utensil,
COLLECTION,'295401291824,title,vi,,,Home Decoration,Trang trí nhà cửa
COLLECTION,'295401291824,title,zh-CN,,,Home Decoration,家居装饰
COLLECTION,'295401291824,body_html,vi,,,"",
COLLECTION,'295401291824,body_html,zh-CN,,,"",
COLLECTION,'295401291824,handle,vi,,,home-decoration,
COLLECTION,'295401291824,handle,zh-CN,,,home-decoration,
COLLECTION,'295401291824,meta_title,vi,,,home decoration,trang trí nhà cửa
COLLECTION,'295401291824,meta_title,zh-CN,,,home decoration,家居装饰
COLLECTION,'295700725808,title,vi,,,Glasswares,Đồ thủy tinh
COLLECTION,'295700725808,title,zh-CN,,,Glasswares,玻璃器皿
COLLECTION,'295700725808,body_html,vi,,,"",
COLLECTION,'295700725808,body_html,zh-CN,,,"",
COLLECTION,'295700725808,handle,vi,,,glasswares,
COLLECTION,'295700725808,handle,zh-CN,,,glasswares,
COLLECTION,'295701053488,title,vi,,,Natural Woven Baskets,Giỏ đan tự nhiên
COLLECTION,'295701053488,title,zh-CN,,,Natural Woven Baskets,天然编织篮
COLLECTION,'295701053488,body_html,vi,,,"",
COLLECTION,'295701053488,body_html,zh-CN,,,"",
COLLECTION,'295701053488,handle,vi,,,woven-baskets,
COLLECTION,'295701053488,handle,zh-CN,,,woven-baskets,
COLLECTION,'295701119024,title,vi,,,Hooks,Móc
COLLECTION,'295701119024,title,zh-CN,,,Hooks,钩子
COLLECTION,'295701119024,body_html,vi,,,"",
COLLECTION,'295701119024,body_html,zh-CN,,,"",
COLLECTION,'295701119024,handle,vi,,,hooks,
COLLECTION,'295701119024,handle,zh-CN,,,hooks,
COLLECTION,'297600483376,title,vi,,,Ceramic,Gốm sứ
COLLECTION,'297600483376,title,zh-CN,,,Ceramic,陶瓷制品
COLLECTION,'297600483376,body_html,vi,,,"",
COLLECTION,'297600483376,body_html,zh-CN,,,"",
COLLECTION,'297600483376,handle,vi,,,ceramic-dinning-wares,
COLLECTION,'297600483376,handle,zh-CN,,,ceramic-dinning-wares,
COLLECTION,'297606447152,title,vi,,,Stainless Steels,Thép không gỉ
COLLECTION,'297606447152,title,zh-CN,,,Stainless Steels,不锈钢
COLLECTION,'297606447152,body_html,vi,,,"",
COLLECTION,'297606447152,body_html,zh-CN,,,"",
COLLECTION,'297606447152,handle,vi,,,stainless-steels,
COLLECTION,'297606447152,handle,zh-CN,,,stainless-steels,
COLLECTION,'297606610992,title,vi,,,Plastic,Nhựa
COLLECTION,'297606610992,title,zh-CN,,,Plastic,塑料
COLLECTION,'297606610992,body_html,vi,,,"",
COLLECTION,'297606610992,body_html,zh-CN,,,"",
COLLECTION,'297606610992,handle,vi,,,plastic,
COLLECTION,'297606610992,handle,zh-CN,,,plastic,
COLLECTION,'297606643760,title,vi,,,Bamboo,Cây tre
COLLECTION,'297606643760,title,zh-CN,,,Bamboo,竹子
COLLECTION,'297606643760,body_html,vi,,,"",
COLLECTION,'297606643760,body_html,zh-CN,,,"",
COLLECTION,'297606643760,handle,vi,,,bamboo,
COLLECTION,'297606643760,handle,zh-CN,,,bamboo,
COLLECTION,'297606742064,title,vi,,,Wood,Gỗ
COLLECTION,'297606742064,title,zh-CN,,,Wood,木头
COLLECTION,'297606742064,body_html,vi,,,"",
COLLECTION,'297606742064,body_html,zh-CN,,,"",
COLLECTION,'297606742064,handle,vi,,,wooden,
COLLECTION,'297606742064,handle,zh-CN,,,wooden,
COLLECTION,'297606774832,title,vi,,,Metal,Kim loại
COLLECTION,'297606774832,title,zh-CN,,,Metal,金属
COLLECTION,'297606774832,body_html,vi,,,"",
COLLECTION,'297606774832,body_html,zh-CN,,,"",
COLLECTION,'297606774832,handle,vi,,,metal,
COLLECTION,'297606774832,handle,zh-CN,,,metal,
COLLECTION,'297606807600,title,vi,,,Alloy,Hợp kim
COLLECTION,'297606807600,title,zh-CN,,,Alloy,合金
COLLECTION,'297606807600,body_html,vi,,,"",
COLLECTION,'297606807600,body_html,zh-CN,,,"",
COLLECTION,'297606807600,handle,vi,,,alloy,
COLLECTION,'297606807600,handle,zh-CN,,,alloy,
COLLECTION,'297607430192,title,vi,,,Fry,Chiên rán
COLLECTION,'297607430192,title,zh-CN,,,Fry,炒
COLLECTION,'297607430192,body_html,vi,,,"",
COLLECTION,'297607430192,body_html,zh-CN,,,"",
COLLECTION,'297607430192,handle,vi,,,deep-fry,
COLLECTION,'297607430192,handle,zh-CN,,,deep-fry,
COLLECTION,'297607495728,title,vi,,,Kraft Takeout,Kraft mang đi
COLLECTION,'297607495728,title,zh-CN,,,Kraft Takeout,卡夫外卖
COLLECTION,'297607495728,body_html,vi,,,"",
COLLECTION,'297607495728,body_html,zh-CN,,,"",
COLLECTION,'297607495728,handle,vi,,,kraft-takeout,
COLLECTION,'297607495728,handle,zh-CN,,,kraft-takeout,
COLLECTION,'297607528496,title,vi,,,Plastic Takeout,Đồ nhựa mang đi
COLLECTION,'297607528496,title,zh-CN,,,Plastic Takeout,塑料外卖
COLLECTION,'297607528496,body_html,vi,,,"",
COLLECTION,'297607528496,body_html,zh-CN,,,"",
COLLECTION,'297607528496,handle,vi,,,plastic-takeout,
COLLECTION,'297607528496,handle,zh-CN,,,plastic-takeout,
COLLECTION,'297651863600,title,vi,,,Foil Takeout,Mang đi bằng giấy bạc
COLLECTION,'297651863600,title,zh-CN,,,Foil Takeout,铝箔外卖
COLLECTION,'297651863600,body_html,vi,,,"",
COLLECTION,'297651863600,body_html,zh-CN,,,"",
COLLECTION,'297651863600,handle,vi,,,foil,
COLLECTION,'297651863600,handle,zh-CN,,,foil,
COLLECTION,'297654255664,title,vi,,,Pot,Nồi
COLLECTION,'297654255664,title,zh-CN,,,Pot,锅
COLLECTION,'297654255664,body_html,vi,,,"",
COLLECTION,'297654255664,body_html,zh-CN,,,"",
COLLECTION,'297654255664,handle,vi,,,pot,
COLLECTION,'297654255664,handle,zh-CN,,,pot,
COLLECTION,'297767206960,title,vi,,,Bonsai,Cây cảnh
COLLECTION,'297767206960,title,zh-CN,,,Bonsai,盆景
COLLECTION,'297767206960,body_html,vi,,,"",
COLLECTION,'297767206960,body_html,zh-CN,,,"",
COLLECTION,'297767206960,handle,vi,,,bonsai,
COLLECTION,'297767206960,handle,zh-CN,,,bonsai,
COOKIE_BANNER,'3753312304,policy_link_text,vi,,,Privacy Policy,
COOKIE_BANNER,'3753312304,policy_link_text,zh-CN,,,Privacy Policy,
COOKIE_BANNER,'3753312304,title,vi,,,Cookie consent,
COOKIE_BANNER,'3753312304,title,zh-CN,,,Cookie consent,
COOKIE_BANNER,'3753312304,text,vi,,,"We and our partners, including Shopify, use cookies and other technologies to personalize your experience, show you ads, and perform analytics, and we will not use cookies or other technologies for these purposes unless you accept them. Learn more in our ",
COOKIE_BANNER,'3753312304,text,zh-CN,,,"We and our partners, including Shopify, use cookies and other technologies to personalize your experience, show you ads, and perform analytics, and we will not use cookies or other technologies for these purposes unless you accept them. Learn more in our ",
COOKIE_BANNER,'3753312304,button_prefs_open_text,vi,,,Manage preferences,
COOKIE_BANNER,'3753312304,button_prefs_open_text,zh-CN,,,Manage preferences,
COOKIE_BANNER,'3753312304,button_accept_text,vi,,,Accept,
COOKIE_BANNER,'3753312304,button_accept_text,zh-CN,,,Accept,
COOKIE_BANNER,'3753312304,button_decline_text,vi,,,Decline,
COOKIE_BANNER,'3753312304,button_decline_text,zh-CN,,,Decline,
COOKIE_BANNER,'3753312304,preferences_title,vi,,,Cookie and privacy preferences,
COOKIE_BANNER,'3753312304,preferences_title,zh-CN,,,Cookie and privacy preferences,
COOKIE_BANNER,'3753312304,preferences_intro_title,vi,,,You control your data,
COOKIE_BANNER,'3753312304,preferences_intro_title,zh-CN,,,You control your data,
COOKIE_BANNER,'3753312304,preferences_intro_text,vi,,,"Learn more about the cookies we use, and choose which cookies to allow.",
COOKIE_BANNER,'3753312304,preferences_intro_text,zh-CN,,,"Learn more about the cookies we use, and choose which cookies to allow.",
COOKIE_BANNER,'3753312304,preferences_button_accept_text,vi,,,Accept all,
COOKIE_BANNER,'3753312304,preferences_button_accept_text,zh-CN,,,Accept all,
COOKIE_BANNER,'3753312304,preferences_button_decline_text,vi,,,Decline all,
COOKIE_BANNER,'3753312304,preferences_button_decline_text,zh-CN,,,Decline all,
COOKIE_BANNER,'3753312304,preferences_button_save_text,vi,,,Save my choices,
COOKIE_BANNER,'3753312304,preferences_button_save_text,zh-CN,,,Save my choices,
COOKIE_BANNER,'3753312304,preferences_bullet_points_title,vi,,,If you accept all cookies,
COOKIE_BANNER,'3753312304,preferences_bullet_points_title,zh-CN,,,If you accept all cookies,
COOKIE_BANNER,'3753312304,preferences_bullet_points_first_text,vi,,,Our site may be improved based on your interests,
COOKIE_BANNER,'3753312304,preferences_bullet_points_first_text,zh-CN,,,Our site may be improved based on your interests,
COOKIE_BANNER,'3753312304,preferences_bullet_points_second_text,vi,,,Your preferences may be stored for when you return,
COOKIE_BANNER,'3753312304,preferences_bullet_points_second_text,zh-CN,,,Your preferences may be stored for when you return,
COOKIE_BANNER,'3753312304,preferences_bullet_points_third_text,vi,,,You may see advertising that's tailored to you,
COOKIE_BANNER,'3753312304,preferences_bullet_points_third_text,zh-CN,,,You may see advertising that's tailored to you,
COOKIE_BANNER,'3753312304,preferences_purposes_essential_name,vi,,,Required,
COOKIE_BANNER,'3753312304,preferences_purposes_essential_name,zh-CN,,,Required,
COOKIE_BANNER,'3753312304,preferences_purposes_essential_desc,vi,,,"These cookies are necessary for the site to function properly, including capabilities like logging in and adding items to the cart.",
COOKIE_BANNER,'3753312304,preferences_purposes_essential_desc,zh-CN,,,"These cookies are necessary for the site to function properly, including capabilities like logging in and adding items to the cart.",
COOKIE_BANNER,'3753312304,preferences_purposes_performance_name,vi,,,Analytics,
COOKIE_BANNER,'3753312304,preferences_purposes_performance_name,zh-CN,,,Analytics,
COOKIE_BANNER,'3753312304,preferences_purposes_performance_desc,vi,,,These cookies help us understand how you interact with the site. We use this data to identify areas to improve.,
COOKIE_BANNER,'3753312304,preferences_purposes_performance_desc,zh-CN,,,These cookies help us understand how you interact with the site. We use this data to identify areas to improve.,
COOKIE_BANNER,'3753312304,preferences_purposes_preferences_name,vi,,,Personalization,
COOKIE_BANNER,'3753312304,preferences_purposes_preferences_name,zh-CN,,,Personalization,
COOKIE_BANNER,'3753312304,preferences_purposes_preferences_desc,vi,,,These cookies store details about your actions to personalize your next visit to the website.,
COOKIE_BANNER,'3753312304,preferences_purposes_preferences_desc,zh-CN,,,These cookies store details about your actions to personalize your next visit to the website.,
COOKIE_BANNER,'3753312304,preferences_purposes_marketing_name,vi,,,Marketing,
COOKIE_BANNER,'3753312304,preferences_purposes_marketing_name,zh-CN,,,Marketing,
COOKIE_BANNER,'3753312304,preferences_purposes_marketing_desc,vi,,,"These cookies are used by us and our partners, including Shopify, to optimize marketing communications and show you ads on other websites.",
COOKIE_BANNER,'3753312304,preferences_purposes_marketing_desc,zh-CN,,,"These cookies are used by us and our partners, including Shopify, to optimize marketing communications and show you ads on other websites.",
COOKIE_BANNER,'3753312304,policy_link_url,vi,,,http://omecawholesale.com/policies/privacy-policy,
COOKIE_BANNER,'3753312304,policy_link_url,zh-CN,,,http://omecawholesale.com/policies/privacy-policy,
DELIVERY_METHOD_DEFINITION,'568486199344,name,vi,,,Pickup,Nhặt lên
DELIVERY_METHOD_DEFINITION,'568486199344,name,zh-CN,,,Pickup,捡起
DELIVERY_METHOD_DEFINITION,'597184479280,name,vi,,,Local Delivery,Giao hàng tận nơi
DELIVERY_METHOD_DEFINITION,'597184479280,name,zh-CN,,,Local Delivery,本地配送
DELIVERY_METHOD_DEFINITION,'597671247920,name,vi,,,Standard,Tiêu chuẩn
DELIVERY_METHOD_DEFINITION,'597671247920,name,zh-CN,,,Standard,标准
FILTER,'32139345968,label,vi,,,Availability,Khả dụng
FILTER,'32139345968,label,zh-CN,,,Availability,供货情况
FILTER,'32139378736,label,vi,,,Price,Giá
FILTER,'32139378736,label,zh-CN,,,Price,价格
FILTER,'32447234096,label,vi,,,Product Type,Loại sản phẩm
FILTER,'32447234096,label,zh-CN,,outdated,Product Type,更多筛选条件
LINK,'487521091632,title,vi,,,Home,Trang chủ
LINK,'487521091632,title,zh-CN,,,Home,主页
LINK,'487521157168,title,vi,,,Contact,Liên hệ
LINK,'487521157168,title,zh-CN,,,Contact,联系我们
LINK,'487521189936,title,vi,,,Search,Tìm kiếm
LINK,'487521189936,title,zh-CN,,,Search,搜索
LINK,'487521222704,title,vi,,,Shop,Cửa hàng
LINK,'487521222704,title,zh-CN,,,Shop,店铺
LINK,'487521255472,title,vi,,,Orders,Đơn hàng
LINK,'487521255472,title,zh-CN,,,Orders,订单
LINK,'487588167728,title,vi,,,Categories,Thể loại
LINK,'487588167728,title,zh-CN,,,Categories,类别
LINK,'488177598512,title,vi,,,Restaurant,Nhà hàng
LINK,'488177598512,title,zh-CN,,,Restaurant,餐厅
LINK,'488177631280,title,vi,,,Takeout,Mang đi
LINK,'488177631280,title,zh-CN,,,Takeout,外卖
LINK,'488177664048,title,vi,,,Religious,Tôn giáo
LINK,'488177664048,title,zh-CN,,,Religious,宗教
LINK,'493180059696,title,vi,,,Service,Dịch vụ
LINK,'493180059696,title,zh-CN,,,Service,服务
LINK,'500066320432,title,vi,,,Material,Vật liệu
LINK,'500066320432,title,zh-CN,,,Material,材料
LINK,'500066353200,title,vi,,,Ceramic,Gốm sứ
LINK,'500066353200,title,zh-CN,,,Ceramic,陶瓷
LINK,'500066385968,title,vi,,,Kitchen,Phòng bếp
LINK,'500066385968,title,zh-CN,,,Kitchen,厨房
LINK,'500066418736,title,vi,,,Fry,Chiên rán
LINK,'500066418736,title,zh-CN,,,Fry,油炸
LINK,'500066484272,title,vi,,,Other,Khác
LINK,'500066484272,title,zh-CN,,,Other,其他
LINK,'500068319280,title,vi,,,Stainless Steels,Thép không gỉ
LINK,'500068319280,title,zh-CN,,,Stainless Steels,不锈钢
LINK,'500068352048,title,vi,,,Plastic,Nhựa
LINK,'500068352048,title,zh-CN,,,Plastic,塑料
LINK,'500068384816,title,vi,,,Metal,Kim loại
LINK,'500068384816,title,zh-CN,,,Metal,金属
LINK,'500068417584,title,vi,,,Material,Vật liệu
LINK,'500068417584,title,zh-CN,,,Material,材料
LINK,'500068450352,title,vi,,,Kraft,Giấy kraft
LINK,'500068450352,title,zh-CN,,,Kraft,牛皮纸
LINK,'500068712496,title,vi,,,Containers,Container
LINK,'500068712496,title,zh-CN,,,Containers,外卖容器
LINK,'500068745264,title,vi,,,Bowls,Bát
LINK,'500068745264,title,zh-CN,,,Bowls,碗
LINK,'500068778032,title,vi,,,Boxes,Hộp
LINK,'500068778032,title,zh-CN,,,Boxes,外卖盒
LINK,'500068810800,title,vi,,,Cups,Cốc
LINK,'500068810800,title,zh-CN,,,Cups,杯子
LINK,'500068843568,title,vi,,,Utensils,Đồ dùng
LINK,'500068843568,title,zh-CN,,,Utensils,餐具
LINK,'500071006256,title,vi,,,Operational Supplies,Vật tư hoạt động
LINK,'500071006256,title,zh-CN,,,Operational Supplies,营运用品
LINK,'500072448048,title,vi,,,Bamboo,Cây tre
LINK,'500072448048,title,zh-CN,,,Bamboo,竹
LINK,'500072480816,title,vi,,,Alloy,Hợp kim
LINK,'500072480816,title,zh-CN,,,Alloy,合金
LINK,'500072611888,title,vi,,,Joss Papers,Giấy Joss
LINK,'500072611888,title,zh-CN,,,Joss Papers,冥币
LINK,'500072644656,title,vi,,,Incense,Hương
LINK,'500072644656,title,zh-CN,,,Incense,檀香
LINK,'500072677424,title,vi,,,Decoration,Trang trí
LINK,'500072677424,title,zh-CN,,,Decoration,装饰
LINK,'500073136176,title,vi,,,Bags,Túi xách
LINK,'500073136176,title,zh-CN,,,Bags,外卖袋
LINK,'500074086448,title,vi,,,Steamers,Tàu hơi nước
LINK,'500074086448,title,zh-CN,,,Steamers,蒸笼
LINK,'500074119216,title,vi,,,Dinning Room,Phòng ăn
LINK,'500074119216,title,zh-CN,,,Dinning Room,前堂
LINK,'500074151984,title,vi,,,Bowls,Bát
LINK,'500074151984,title,zh-CN,,,Bowls,碗
LINK,'500074184752,title,vi,,,Plates,Đĩa
LINK,'500074184752,title,zh-CN,,,Plates,盘子
LINK,'500074217520,title,vi,,,Cleanware,Đồ dùng vệ sinh
LINK,'500074217520,title,zh-CN,,,Cleanware,清洁用品
LINK,'500074250288,title,vi,,,Disposable,Dùng một lần
LINK,'500074250288,title,zh-CN,,,Disposable,消耗品
LINK,'500074283056,title,vi,,,Cookware,Đồ nấu nướng
LINK,'500074283056,title,zh-CN,,,Cookware,炊具
LINK,'500074315824,title,vi,,,Hooks,Móc
LINK,'500074315824,title,zh-CN,,,Hooks,钩
LINK,'500074348592,title,vi,,,Kitchen Knife,Dao nhà bếp
LINK,'500074348592,title,zh-CN,,,Kitchen Knife,菜刀
LINK,'500074381360,title,vi,,,Wok,Chảo
LINK,'500074381360,title,zh-CN,,,Wok,炒锅
LINK,'500074414128,title,vi,,,Cups,Cốc
LINK,'500074414128,title,zh-CN,,,Cups,杯子
LINK,'500074446896,title,vi,,,Glasswares,Đồ thủy tinh
LINK,'500074446896,title,zh-CN,,,Glasswares,玻璃器皿
LINK,'500074479664,title,vi,,,Table ware,Đồ dùng trên bàn ăn
LINK,'500074479664,title,zh-CN,,,Table ware,餐具
LINK,'500078280752,title,vi,,,Plastic,Nhựa
LINK,'500078280752,title,zh-CN,,,Plastic,塑料
LINK,'500283637808,title,vi,,,Foil,Lá kim loại
